"Other Crops: Volume of Production, by Region and by Province, by Quarter and Semester, 2020-2024",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Crop,Geolocation,2020 Semester1,2020 Semester2,2020 Annual,2021 Semester1,2021 Semester2,2021 Annual,2022 Semester1,2022 Semester2,2022 Annual,2023 Semester1,2023 Semester2,2023 Annual,2024 Semester1,2024 Semester2,2024 Annual
Makopa,..REGION XIII (CARAGA),7.35,20.56,27.91,6.88,20.72,27.6,5.86,11.96,17.82,6.08,7.52,13.6,5.42,6.41,11.83
Makopa,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,9.13,4.28,13.41,9.04,4.37,13.41,9.05,4.65,13.7,9.22,4.71,13.94,12.49,14.87,27.36
Aratelis(Manzanita),..CORDILLERA ADMINISTRATIVE REGION (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aratelis(Manzanita),..REGION I (ILOCOS REGION),0.11,3.93,4.04,0.13,3.56,3.69,0.13,4.08,4.21,0.15,4.13,4.28,0.65,3.65,4.3
Aratelis(Manzanita),..REGION II (CAGAYAN VALLEY),2.28,1.4,3.68,2.4,0.95,3.35,2.29,0.73,3.02,2.13,0.52,2.64,1.91,0.53,2.44
Aratelis(Manzanita),..REGION III (CENTRAL LUZON),11.22,8.94,20.16,10.34,8.99,19.33,10.7,13.58,24.28,10.03,4.27,14.3,9.72,4.28,14
Aratelis(Manzanita),..REGION IV-A (CALABARZON),0.35,1.1,1.45,0.34,1.12,1.46,0.35,1.1,1.45,0.35,1.08,1.43,0.64,0.94,1.58
Aratelis(Manzanita),..MIMAROPA REGION,0.95,0.95,1.9,0.85,0.81,1.66,0.62,0.78,1.4,0.95,0.77,1.72,8.21,1.8,10.02
Aratelis(Manzanita),..REGION V (BICOL REGION),6.7,2.27,8.97,4.87,1.95,6.82,6.38,0.35,6.73,6.55,0.04,6.59,5.86,0.39,6.25
Aratelis(Manzanita),..REGION VI (WESTERN VISAYAS),2.57,1.45,4.02,2.45,1.47,3.92,2.25,1.4,3.65,2.2,1.48,3.68,2.64,1.37,4.01
Aratelis(Manzanita),..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,0.08,2.87,2.95
Aratelis(Manzanita),..REGION VII (CENTRAL VISAYAS),0.05,0.13,0.18,0.06,0.07,0.13,0.03,0.09,0.12,0.01,0.28,0.29,0.17,0.16,0.33
Aratelis(Manzanita),..REGION VIII (EASTERN VISAYAS),5.82,2.43,8.25,5.48,2.44,7.92,5.8,3.4,9.2,8.3,3.66,11.96,5.34,2.73,8.07
Aratelis(Manzanita),..REGION IX (ZAMBOANGA PENINSULA),0.02,0.02,0.04,0.02,0.03,0.06,0.04,0.03,0.07,0.02,0.08,0.1,0,0,0
Aratelis(Manzanita),..REGION X (NORTHERN MINDANAO),3.82,5.39,9.21,3.26,5.24,8.5,3.21,5.45,8.66,3.36,4.66,8.02,3.33,5.65,8.97
Aratelis(Manzanita),..REGION XI (DAVAO REGION),66.54,81.03,147.57,61.19,85.51,146.7,64.57,79.86,144.44,62.93,32.47,95.4,59.49,31.47,90.96
Aratelis(Manzanita),..REGION XII (SOCCSKSARGEN),3.37,4.44,7.81,3.47,4.28,7.75,3.58,4.36,7.94,3.48,4.97,8.45,3.27,4.68,7.95
Aratelis(Manzanita),..REGION XIII (CARAGA),0.03,0,0.03,0.03,0,0.03,0.03,0,0.03,0.02,0.02,0.04,0.03,0.17,0.21
Aratelis(Manzanita),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,3.88,0,3.88,3.83,0,3.83,3.83,0,3.83,3.82,0,3.82,0,0,0
Pangi,..CORDILLERA ADMINISTRATIVE REGION (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..REGION I (ILOCOS REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..REGION II (CAGAYAN VALLEY),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..REGION III (CENTRAL LUZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..REGION IV-A (CALABARZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..MIMAROPA REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..REGION V (BICOL REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..REGION VI (WESTERN VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0
Pangi,..REGION VII (CENTRAL VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..REGION VIII (EASTERN VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..REGION IX (ZAMBOANGA PENINSULA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..REGION X (NORTHERN MINDANAO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..REGION XI (DAVAO REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..REGION XII (SOCCSKSARGEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pangi,..REGION XIII (CARAGA),0.09,0.91,1,0.09,0.97,1.06,0.09,0.96,1.05,0.08,0,0.08,0,0,0
Pangi,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passion Fruit,..CORDILLERA ADMINISTRATIVE REGION (CAR),9,1.7,10.7,10.78,1.15,11.93,18.23,1.2,19.43,17.92,1.12,19.04,15.92,3.05,18.97
Passion Fruit,..REGION I (ILOCOS REGION),0.34,0.16,0.5,0.36,0.18,0.54,0.31,0.16,0.47,0.33,0.91,1.24,0.56,0.16,0.71
Passion Fruit,..REGION II (CAGAYAN VALLEY),0,1.24,1.24,0.01,1.03,1.03,0,1.14,1.14,0,1.1,1.1,0,1.64,1.64
Passion Fruit,..REGION III (CENTRAL LUZON),0,0.56,0.56,0,0.57,0.57,0,0.56,0.56,0,0.55,0.55,0,0.34,0.34
Passion Fruit,..REGION IV-A (CALABARZON),18.7,9.97,28.67,17.91,10.77,28.68,15.17,11.76,26.93,14.35,8.54,22.89,13.98,4.37,18.35
Passion Fruit,..MIMAROPA REGION,0.52,0.7,1.22,0.55,0.6,1.15,0.25,0.4,0.65,0.28,0.37,0.65,0.23,0.67,0.9
Passion Fruit,..REGION V (BICOL REGION),0.43,0.19,0.62,0.41,0.13,0.54,0.28,0.12,0.4,0.14,0.01,0.15,0.36,2.02,2.39
Passion Fruit,..REGION VI (WESTERN VISAYAS),0.93,1.23,2.16,0.84,1.38,2.22,0.5,1.31,1.81,0.55,1,1.55,0.51,1.28,1.79
Passion Fruit,..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,0.51,0.01,0.52
Passion Fruit,..REGION VII (CENTRAL VISAYAS),1.15,0.19,1.34,1.3,0.15,1.45,0.89,0.1,0.99,0.8,1.94,2.74,1.96,2.77,4.73
Passion Fruit,..REGION VIII (EASTERN VISAYAS),0.04,0.83,0.87,0.04,0.84,0.88,0.03,0.83,0.86,0.02,0.37,0.39,0.12,0.56,0.68
Passion Fruit,..REGION IX (ZAMBOANGA PENINSULA),0,0,0,0,0,0,0,0,0,0,0.49,0.49,0,0,0
Passion Fruit,..REGION X (NORTHERN MINDANAO),8.48,9.99,18.47,8.89,10.95,19.84,9.32,11.1,20.42,8.37,10.9,19.27,8.09,10.55,18.64
Passion Fruit,..REGION XI (DAVAO REGION),61.76,75.07,136.83,55.11,73.14,128.25,52.25,69.35,121.61,49.93,67.03,116.95,47.16,65.64,112.8
Passion Fruit,..REGION XII (SOCCSKSARGEN),29.69,40.19,69.88,28.87,39.52,68.39,30.38,40,70.38,33.5,39.38,72.88,29.99,42.44,72.43
Passion Fruit,..REGION XIII (CARAGA),0,0,0,0,0,0,0,0,0,0,0.74,0.74,0,0,0
Passion Fruit,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears,..CORDILLERA ADMINISTRATIVE REGION (CAR),0,39.96,39.96,0,36.03,36.03,0,33.38,33.38,0,30.08,30.08,0,33.09,33.09
Pears,..REGION I (ILOCOS REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears,..REGION II (CAGAYAN VALLEY),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears,..REGION III (CENTRAL LUZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears,..REGION IV-A (CALABARZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears,..MIMAROPA REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears,..REGION V (BICOL REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears,..REGION VI (WESTERN VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears,..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0
Pears,..REGION VII (CENTRAL VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears,..REGION VIII (EASTERN VISAYAS),0,0,0,0,0,0,0,0,0,0,1.15,1.15,0,0,0
Pears,..REGION IX (ZAMBOANGA PENINSULA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears,..REGION X (NORTHERN MINDANAO),0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6
Pears,..REGION XI (DAVAO REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears,..REGION XII (SOCCSKSARGEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears,..REGION XIII (CARAGA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pears,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..CORDILLERA ADMINISTRATIVE REGION (CAR),0,38.5,38.5,0,36.64,36.64,0,34.75,34.75,0,57.74,57.74,0,59.28,59.28
Persimmon,..REGION I (ILOCOS REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..REGION II (CAGAYAN VALLEY),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..REGION III (CENTRAL LUZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..REGION IV-A (CALABARZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..MIMAROPA REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..REGION V (BICOL REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..REGION VI (WESTERN VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0
Persimmon,..REGION VII (CENTRAL VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..REGION VIII (EASTERN VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..REGION IX (ZAMBOANGA PENINSULA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..REGION X (NORTHERN MINDANAO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..REGION XI (DAVAO REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..REGION XII (SOCCSKSARGEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..REGION XIII (CARAGA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persimmon,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rattan Fruits,..CORDILLERA ADMINISTRATIVE REGION (CAR),0,34.33,34.33,0,24.57,24.57,0,24.99,24.99,0,22.06,22.06,0.68,31.97,32.65
Rattan Fruits,..REGION I (ILOCOS REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rattan Fruits,..REGION II (CAGAYAN VALLEY),8.86,58.05,66.91,8.52,43.55,52.07,8.44,36.65,45.09,9.22,25.64,34.86,8.84,24.79,33.62
Rattan Fruits,..REGION III (CENTRAL LUZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rattan Fruits,..REGION IV-A (CALABARZON),0,0.41,0.41,0,0,0,0,0,0,0,0,0,0,0,0
Rattan Fruits,..MIMAROPA REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rattan Fruits,..REGION V (BICOL REGION),2.23,0.43,2.66,0.97,0.7,1.67,1.52,0.85,2.37,1.57,0,1.57,0,0,0
Rattan Fruits,..REGION VI (WESTERN VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rattan Fruits,..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0
Rattan Fruits,..REGION VII (CENTRAL VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rattan Fruits,..REGION VIII (EASTERN VISAYAS),0,0.3,0.3,0,0.3,0.3,0,1.5,1.5,0.03,2.28,2.31,0.03,1.3,1.34
Rattan Fruits,..REGION IX (ZAMBOANGA PENINSULA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rattan Fruits,..REGION X (NORTHERN MINDANAO),0,2.2,2.2,0,2,2,0,2.1,2.1,0,2,2,0,1.95,1.95
Rattan Fruits,..REGION XI (DAVAO REGION),0.56,1.03,1.59,0.55,1.04,1.59,0.51,1.06,1.57,0.52,1,1.52,0.49,0.92,1.41
Rattan Fruits,..REGION XII (SOCCSKSARGEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rattan Fruits,..REGION XIII (CARAGA),0.16,16.08,16.24,0.16,16.11,16.27,0.16,15.82,15.98,0.18,0.01,0.19,0,0,0
Rattan Fruits,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serial(Serales),..CORDILLERA ADMINISTRATIVE REGION (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serial(Serales),..REGION I (ILOCOS REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serial(Serales),..REGION II (CAGAYAN VALLEY),0,0.01,0.01,0,0.01,0.01,0,0.02,0.02,0,6.2,6.2,0,6.15,6.15
Serial(Serales),..REGION III (CENTRAL LUZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serial(Serales),..REGION IV-A (CALABARZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serial(Serales),..MIMAROPA REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serial(Serales),..REGION V (BICOL REGION),0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.6
Serial(Serales),..REGION VI (WESTERN VISAYAS),0.18,0.33,0.51,0.13,0.3,0.43,0.14,0.23,0.37,0.14,0.28,0.41,0.11,0.27,0.38
Serial(Serales),..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,0.14,0,0.14
Serial(Serales),..REGION VII (CENTRAL VISAYAS),0.3,0,0.3,0.35,0,0.35,0.25,0,0.25,0.2,0,0.2,0,0,0
Serial(Serales),..REGION VIII (EASTERN VISAYAS),0.03,0,0.03,0.02,0,0.02,0.03,0,0.03,0.03,0.39,0.42,0.53,0.35,0.88
Serial(Serales),..REGION IX (ZAMBOANGA PENINSULA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serial(Serales),..REGION X (NORTHERN MINDANAO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serial(Serales),..REGION XI (DAVAO REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serial(Serales),..REGION XII (SOCCSKSARGEN),0.09,0.07,0.16,0.07,0.06,0.13,0.06,0.08,0.14,0.05,0.38,0.43,0.19,0.36,0.55
Serial(Serales),..REGION XIII (CARAGA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serial(Serales),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirialis,..CORDILLERA ADMINISTRATIVE REGION (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirialis,..REGION I (ILOCOS REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirialis,..REGION II (CAGAYAN VALLEY),0,11.13,11.13,0,10.02,10.02,0,9.02,9.02,0,0,0,0,0,0
Sirialis,..REGION III (CENTRAL LUZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirialis,..REGION IV-A (CALABARZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirialis,..MIMAROPA REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirialis,..REGION V (BICOL REGION),2.77,0.72,3.49,2.28,0.68,2.96,1.86,0.27,2.13,1.85,0,1.85,0,0,0
Sirialis,..REGION VI (WESTERN VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirialis,..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0
Sirialis,..REGION VII (CENTRAL VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirialis,..REGION VIII (EASTERN VISAYAS),1.45,0.82,2.27,1.34,0.85,2.19,1.35,0.85,2.19,1.39,0,1.39,0,0,0
Sirialis,..REGION IX (ZAMBOANGA PENINSULA),0.01,0.06,0.07,0.01,0.06,0.07,0.01,0.07,0.08,0.01,0,0.01,0,0,0
Sirialis,..REGION X (NORTHERN MINDANAO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirialis,..REGION XI (DAVAO REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirialis,..REGION XII (SOCCSKSARGEN),0.1,0.46,0.56,0.15,0.4,0.55,0.18,0.39,0.57,0.15,0,0.15,0,0,0
Sirialis,..REGION XIII (CARAGA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirialis,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strawberry,..CORDILLERA ADMINISTRATIVE REGION (CAR),653.62,527.5,1181.12,901.11,854.76,1755.87,1247.29,1744.94,2992.23,1271.42,1805,3076.42,2632.86,4775,7407.86
Strawberry,..REGION I (ILOCOS REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strawberry,..REGION II (CAGAYAN VALLEY),4.98,2.11,7.09,6.98,2.01,8.99,7.56,2.06,9.62,7.26,2.02,9.28,7.81,2.03,9.84
Strawberry,..REGION III (CENTRAL LUZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strawberry,..REGION IV-A (CALABARZON),0.5,0,0.5,0.5,0,0.5,0.54,0,0.54,0.53,0,0.53,0.16,0,0.16
Strawberry,..MIMAROPA REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strawberry,..REGION V (BICOL REGION),0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.06
Strawberry,..REGION VI (WESTERN VISAYAS),1.07,0.22,1.29,0.96,0.2,1.16,0.85,0.17,1.02,0.74,0.2,0.94,0.64,0.6,1.24
Strawberry,..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0
Strawberry,..REGION VII (CENTRAL VISAYAS),1.05,0.54,1.59,1.24,0.51,1.75,1.08,0.29,1.37,1.35,3.29,4.64,1.25,0.25,1.5
Strawberry,..REGION VIII (EASTERN VISAYAS),0.05,0.08,0.13,0.05,0.08,0.13,0.03,0.06,0.09,0,0.06,0.06,1.78,0,1.78
Strawberry,..REGION IX (ZAMBOANGA PENINSULA),0,0,0,0,0,0,0,0,0,0,1.64,1.64,0.18,1.59,1.77
Strawberry,..REGION X (NORTHERN MINDANAO),2.24,2.01,4.25,2,4.12,6.12,3.41,5.08,8.49,4.7,7.03,11.73,12.69,4.75,17.44
Strawberry,..REGION XI (DAVAO REGION),1.5,0.12,1.62,1.28,0.19,1.47,1.48,0.2,1.68,1.66,0.21,1.88,5.7,0.41,6.11
Strawberry,..REGION XII (SOCCSKSARGEN),0.29,4.56,4.85,0.48,4.23,4.71,1.29,2.56,3.85,2.15,2.67,4.82,4.58,2.2,6.78
Strawberry,..REGION XIII (CARAGA),0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01
Strawberry,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tambis,..CORDILLERA ADMINISTRATIVE REGION (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tambis,..REGION I (ILOCOS REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tambis,..REGION II (CAGAYAN VALLEY),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tambis,..REGION III (CENTRAL LUZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tambis,..REGION IV-A (CALABARZON),0,0,0,0,0,0,0,0,0,0,0,0,1.99,0.2,2.19
Tambis,..MIMAROPA REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tambis,..REGION V (BICOL REGION),0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0.72
Tambis,..REGION VI (WESTERN VISAYAS),35.62,13.42,49.04,35.61,13.92,49.53,35.17,15.19,50.36,35.58,16.39,51.97,35.88,15.1,50.98
Tambis,..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,4.21,9.94,14.14
Tambis,..REGION VII (CENTRAL VISAYAS),84.85,61.44,146.29,82.2,56.01,138.21,46.54,35.95,82.49,55.36,53.56,108.92,77.84,46.98,124.83
Tambis,..REGION VIII (EASTERN VISAYAS),35.98,14.45,50.43,35.61,12.08,47.69,18.01,9.4,27.41,21.22,16.61,37.83,25.61,27.46,53.07
Tambis,..REGION IX (ZAMBOANGA PENINSULA),48.45,11.99,60.44,44.49,10.48,54.97,36.39,7.35,43.74,27.1,27.95,55.05,26.48,25.17,51.65
Tambis,..REGION X (NORTHERN MINDANAO),21.31,18.13,39.44,21.4,21.66,43.06,21.07,21.76,42.83,19.79,20.31,40.1,16.84,17.8,34.64
Tambis,..REGION XI (DAVAO REGION),7.38,10.64,18.02,7.66,10.82,18.48,7.3,10.77,18.07,7.17,10.65,17.82,7.46,10.76,18.22
Tambis,..REGION XII (SOCCSKSARGEN),17.6,18.16,35.76,19.56,17.72,37.28,19.65,19.61,39.26,18.91,18.45,37.36,17.43,18.23,35.66
Tambis,..REGION XIII (CARAGA),103.32,42.42,145.74,102.29,37.6,139.89,96.24,35.47,131.71,100.81,28.05,128.86,99.6,30.77,130.37
Tambis,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,0.72,1.48,2.2,0.5,1.55,2.05,1.21,2.1,3.31,1.19,1.77,2.96,2.01,1.97,3.98
Zapote,..CORDILLERA ADMINISTRATIVE REGION (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..REGION I (ILOCOS REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..REGION II (CAGAYAN VALLEY),0.02,0.18,0.2,0.03,0.17,0.2,0.05,0.19,0.24,0.02,0.15,0.17,0.02,0.14,0.16
Zapote,..REGION III (CENTRAL LUZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..REGION IV-A (CALABARZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..MIMAROPA REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..REGION V (BICOL REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..REGION VI (WESTERN VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0
Zapote,..REGION VII (CENTRAL VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..REGION VIII (EASTERN VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..REGION IX (ZAMBOANGA PENINSULA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..REGION X (NORTHERN MINDANAO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..REGION XI (DAVAO REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..REGION XII (SOCCSKSARGEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..REGION XIII (CARAGA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zapote,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..CORDILLERA ADMINISTRATIVE REGION (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..REGION I (ILOCOS REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..REGION II (CAGAYAN VALLEY),0,0,0,0,0,0,0.18,0.03,0.21,0.18,0.05,0.23,0.23,0,0.23
Aruas fruits,..REGION III (CENTRAL LUZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..REGION IV-A (CALABARZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..MIMAROPA REGION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..REGION V (BICOL REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..REGION VI (WESTERN VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0
Aruas fruits,..REGION VII (CENTRAL VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..REGION VIII (EASTERN VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..REGION IX (ZAMBOANGA PENINSULA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..REGION X (NORTHERN MINDANAO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..REGION XI (DAVAO REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..REGION XII (SOCCSKSARGEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..REGION XIII (CARAGA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruas fruits,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manguelas (June Plum),..CORDILLERA ADMINISTRATIVE REGION (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manguelas (June Plum),..REGION I (ILOCOS REGION),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
